external_gene_name	E11	E12	E13	E14	E16	E18	P0	Adult
Xkr4	2190	2368	3218	2895	2846	3147	4493	2549
Sox17	183	138	180	132	168	168	120	178
Mrpl15	738	787	1203	1052	1076	1246	1329	1740
Lypla1	920	806	1067	1098	1100	1178	1194	1234
Tcea1	180	173	211	217	181	201	128	98
Tcea1-2	1093	853	1349	1427	1394	1557	1904	996
Rgs20	673	598	1069	981	946	966	802	1035
Rgs20-2	514	505	674	583	592	543	613	598
Rgs20-3	121	155	241	185	173	232	237	1032
Atp6v1h	743	691	1068	903	971	1085	1279	742
Oprk1	599	453	466	365	347	363	207	64
Npbwr1	184	145	224	136	202	216	258	480
Rb1cc1	1435	1366	1852	1634	1620	1757	1723	1692
Alkal1	284	205	269	153	213	182	162	128
St18	67	61	63	50	65	59	61	77
St18-2	1262	1200	1638	1841	1151	1390	557	344
Pcmtd1	3438	3236	5451	4810	5092	6415	8216	4427
Sntg1	400	432	686	540	692	909	1039	1081
Rrs1	2229	2313	3676	2889	3593	4169	3941	3083
Adhfe1	143	97	85	99	86	85	93	100
Vxn	117	101	156	145	181	213	238	1201
Mybl1	2194	2063	2725	2541	2366	2905	3233	1160
Vcpip1	1828	1959	3621	3206	3743	5186	5893	3610
Sgk3	313	336	410	446	364	424	411	283
Sgk3-2	238	237	417	335	411	436	644	594
Mcmdc2	164	180	240	213	260	226	307	358
Ppp1r42	412	352	415	396	291	330	405	189
Cspp1	633	619	962	880	881	1040	1253	809
Cops5	243	214	297	290	304	257	238	105
Arfgef1	1366	1274	1790	1680	1549	1850	1900	1433
Cpa6	83	99	138	97	139	120	193	1096
Prex2	382	253	268	257	252	200	183	209
Sulf1	323	186	205	210	182	164	261	157
Sulf1-2	175	151	172	146	157	153	165	524
Slco5a1	749	832	1261	1131	1071	1327	1458	402
Prdm14	192	149	207	217	231	230	211	82
Ncoa2	2982	2980	4238	3953	3438	4283	4659	2197
Ncoa2-2	982	1084	1440	1412	1295	1544	1399	288
Tram1	558	550	802	735	712	861	889	1259
Lactb2	630	557	668	504	530	588	706	1823
Xkr9	68	47	38	37	54	42	26	14
Eya1	410	294	350	349	248	284	213	68
Msc	208	190	241	185	223	227	188	385
Trpa1	161	149	136	127	111	94	84	147
Kcnb2	984	1032	1386	1349	1362	1540	2039	881
Terf1	1217	1353	2413	1956	2118	3027	3166	3254
Sbspon	326	271	323	281	258	300	244	68
Rpl7	1170	1121	1688	1663	1506	1909	2036	1340
Rdh10	778	759	962	947	877	982	896	511
Stau2	749	829	1193	1235	1008	1331	1586	1021
Tmem70	446	419	700	605	540	541	618	902
Ly96	289	252	299	268	311	277	320	301
Jph1	1245	1054	1399	1241	1233	1360	1151	2037
Gdap1	405	402	679	567	735	852	802	1440
Pi15	79	71	72	38	69	65	73	523
Crispld1	398	372	425	378	310	337	222	299
Crisp4	96	71	82	64	58	57	70	68
Defb18	52	61	26	36	31	18	26	31
Defb41	73	78	57	32	37	16	29	23
Tfap2d	66	70	72	66	72	72	58	103
Tfap2b	88	69	78	60	51	53	57	53
Tfap2b-2	184	128	108	99	76	100	72	97
Pkhd1	68	78	82	37	47	44	43	388
Il17a	50	50	64	29	34	20	33	32
Il17f	52	52	48	34	35	36	33	29
Mcm3	1272	1181	1732	1479	1524	1963	1796	2153
Efhc1	1448	1358	2116	1773	1852	2287	2971	2174
Tram2	1679	1579	2028	2013	1707	1946	1546	967
Tmem14a	392	420	604	585	508	636	667	700
Gsta3	67	57	50	41	50	23	42	140
Khdc1a	43	35	49	45	34	28	17	34
Khdc1c	48	34	40	37	28	19	20	9
Khdc1b	53	51	73	43	34	23	27	39
Kcnq5	430	357	552	422	454	415	456	367
Kcnq5-2	119	105	133	99	136	111	130	160
Rims1	979	1144	1871	1502	1759	2006	2367	1173
Ppp1r14bl	78	71	70	63	77	61	51	41
Ogfrl1	1789	1578	2097	2013	1726	2292	1851	1205
B3gat2	429	474	781	618	669	801	575	293
Smap1	110	78	87	80	57	86	52	296
Smap1-2	473	629	868	824	834	947	863	539
Sdhaf4	658	723	978	881	811	1051	1005	861
Fam135a	1246	1197	1560	1453	1395	1535	2060	1500
Col9a1	66	50	56	57	66	46	45	34
Col9a1-2	92	86	156	114	105	92	68	29
Col19a1	161	175	199	153	119	192	137	153
Lmbrd1	1728	1642	2459	2146	1738	1948	2059	1697
Adgrb3	1330	1184	1556	1700	1251	1417	1295	891
Phf3	50	46	47	41	48	34	17	29
Ptp4a1	3195	2812	4468	4151	3749	4508	6721	3042
Lgsn	68	60	75	36	43	43	47	48
