New 2D number,Region,, 174-Tot,Category-Name
1,Dorsal motor nucleus of the vagus nerve,1,59.7,Solitariospinal Area
2,Cuneate nucleus,1,100.0,Solitariospinal Area
3,Gracile nucleus,1,0.0,Solitariospinal Area
4,Nucleus of the solitary tract,1,81.9,Solitariospinal Area
5,Medulla,1,59.0,Solitariospinal Area
6,"Medullary reticular nucleus, ventral part",2,87.1,Medullary Reticular Nuclei
7,"Medullary reticular nucleus, dorsal part",2,99.4,Medullary Reticular Nuclei
8,Magnocellular reticular nucleus,3,34.4,Magnocellular Ret. Nuc.
9,Gigantocellular reticular nucleus,4,74.5,Gigantocellular reticular nucleus
10,"Lateral reticular nucleus, magnocellular part",5,56.3,Lateral Reticular Nuclei
11,"Paragigantocellular reticular nucleus, lateral part",5,40.1,Lateral Reticular Nuclei
12,Intermediate reticular nucleus,5,92.4,Lateral Reticular Nuclei
13,Parvicellular reticular nucleus,5,96.7,Lateral Reticular Nuclei
14,"Paragigantocellular reticular nucleus, dorsal part",6,96.0,Dorsal Reticular Nucleus
15,Nucleus raphe magnus,7,34.4,Raphe Nuclei
16,Nucleus raphe obscurus,7,36.1,Raphe Nuclei
17,Facial motor nucleus,30,61.3,Unused
18,Hypoglossal nucleus,8,77.8,Perihypoglossal Area
19,Nucleus of Roller,8,96.8,Perihypoglossal Area
20,Nucleus prepositus,8,100.0,Perihypoglossal Area
21,"Spinal nucleus of the trigeminal, interpolar part",9,97.8,Medullary Trigeminal Area
22,"Spinal nucleus of the trigeminal, caudal part",9,90.2,Medullary Trigeminal Area
23,Spinal vestibular nucleus,10,77.8,Vestibular Nuclei
24,Medial vestibular nucleus,10,95.4,Vestibular Nuclei
25,Lateral vestibular nucleus,10,86.1,Vestibular Nuclei
26,"Pontine reticular nucleus, caudal part",11,64.2,Pontine Reticular Nuclei
27,Pontine reticular nucleus,11,63.5,Pontine Reticular Nuclei
28,"Superior olivary complex, lateral part",12,54.2,Superior Olivary Complex
29,"Superior olivary complex, medial part",12,83.7,Superior Olivary Complex
30,"Superior olivary complex, periolivary region",12,47.8,Superior Olivary Complex
31,Peritrigeminal zone,13,69.8,Pontine Trigeminal Area
32,Supratrigeminal nucleus,13,71.9,Pontine Trigeminal Area
33,Pontine central gray,14,41.1,Pontine Central Gray Area
34,Sublaterodorsal nucleus,14,38.3,Pontine Central Gray Area
35,Laterodorsal tegmental nucleus,14,42.8,Pontine Central Gray Area
36,Subceruleus nucleus,14,39.6,Pontine Central Gray Area
37,Barrington's nucleus,14,43.0,Pontine Central Gray Area
38,Pons,14,45.2,Pontine Central Gray Area
39,Locus ceruleus,30,0.0,Unused
40,Parabrachial nucleus,15,84.2,Parabrachial / Pedunculopontine
41,Pedunculopontine nucleus,15,57.3,Parabrachial / Pedunculopontine
42,Fastigial nucleus,16,99.2,Cerebellospinal Nuclei
43,Interposed nucleus,16,97.9,Cerebellospinal Nuclei
44,Red nucleus,17,53.4,Red Nucleus
45,Edinger-Westphal nucleus,18,78.8,Midbrain Midline Nuclei
46,Interstitial nucleus of Cajal,18,80.1,Midbrain Midline Nuclei
47,Nucleus of Darkschewitsch,18,92.5,Midbrain Midline Nuclei
48,Midbrain,18,74.1,Midbrain Midline Nuclei
49,Midbrain reticular nucleus,19,77.0,Midbrain Reticular Nuclei
50,"Midbrain reticular nucleus, retrorubral area",19,49.8,Midbrain Reticular Nuclei
51,Periaqueductal gray,20,65.9,Periaqueductal Gray
52,Paraventricular hypothalamic nucleus,21,7.0,Hypothalamic Periventricular Zone
53,"Paraventricular hypothalamic nucleus, descending division",21,28.1,Hypothalamic Periventricular Zone
54,"Periventricular hypothalamic nucleus, intermediate part",21,65.1,Hypothalamic Periventricular Zone
55,Dorsomedial nucleus of the hypothalamus,22,58.1,Hypothalamic Lateral Area
56,Hypothalamus,22,59.2,Hypothalamic Lateral Area
57,Lateral hypothalamic area,22,69.0,Hypothalamic Lateral Area
58,Zona incerta,22,56.4,Hypothalamic Lateral Area
59,Anterior hypothalamic nucleus,23,90.5,Hypothalamic Medial Area
60,Posterior hypothalamic nucleus,23,0.0,Hypothalamic Medial Area
61,Ventromedial hypothalamic nucleus,23,68.8,Hypothalamic Medial Area
62,Perireunensis nucleus,24,48.0,Thalamus
63,"Subparafascicular nucleus, magnocellular part",24,0.0,Thalamus
64,Thalamus,24,38.1,Thalamus
65,Ventral medial nucleus of the thalamus,24,46.1,Thalamus
66,Nucleus of reuniens,24,18.0,Thalamus
67,"Central amygdalar nucleus, medial part",30,100.0,Unused
68,Substantia innominata,30,100.0,Unused
69,Corticospinal,25,81.5,Corticospinal
