New 2D number,Region,,Normalized,Category-Name
1,Dorsal motor nucleus of the vagus nerve,1,42.0969023,Solitariospinal Area
2,Cuneate nucleus,1,0,Solitariospinal Area
3,Gracile nucleus,1,0,Solitariospinal Area
4,Nucleus of the solitary tract,1,20.87286528,Solitariospinal Area
5,Medulla,1,38.07184526,Solitariospinal Area
6,"Medullary reticular nucleus, ventral part",2,5.738880918,Medullary Reticular Nuclei
7,"Medullary reticular nucleus, dorsal part",2,11.54132539,Medullary Reticular Nuclei
8,Magnocellular reticular nucleus,3,15.94921028,Magnocellular Ret. Nuc.
9,Gigantocellular reticular nucleus,4,46.09303081,Gigantocellular reticular nucleus
10,"Lateral reticular nucleus, magnocellular part",5,20.82622055,Lateral Reticular Nuclei
11,"Paragigantocellular reticular nucleus, lateral part",5,30.59747778,Lateral Reticular Nuclei
12,Intermediate reticular nucleus,5,19.84453589,Lateral Reticular Nuclei
13,Parvicellular reticular nucleus,5,82.25108225,Lateral Reticular Nuclei
14,"Paragigantocellular reticular nucleus, dorsal part",6,2.808988764,Dorsal Reticular Nucleus
15,Nucleus raphe magnus,7,70.397569,Raphe Nuclei
16,Nucleus raphe obscurus,7,38.77005348,Raphe Nuclei
17,Facial motor nucleus,30,0,Unused
18,Hypoglossal nucleus,8,72.42339833,Perihypoglossal Area
19,Nucleus of Roller,8,-1,Perihypoglossal Area
20,Nucleus prepositus,8,-1,Perihypoglossal Area
21,"Spinal nucleus of the trigeminal, interpolar part",9,-1,Medullary Trigeminal Area
22,"Spinal nucleus of the trigeminal, caudal part",9,-1,Medullary Trigeminal Area
23,Spinal vestibular nucleus,10,23.64066194,Vestibular Nuclei
24,Medial vestibular nucleus,10,50.57471264,Vestibular Nuclei
25,Lateral vestibular nucleus,10,-1,Vestibular Nuclei
26,"Pontine reticular nucleus, caudal part",11,33.00203874,Pontine Reticular Nuclei
27,Pontine reticular nucleus,11,21.28367143,Pontine Reticular Nuclei
28,"Superior olivary complex, lateral part",12,30.43478261,Superior Olivary Complex
29,"Superior olivary complex, medial part",12,-1,Superior Olivary Complex
30,"Superior olivary complex, periolivary region",12,-1,Superior Olivary Complex
31,Peritrigeminal zone,13,-1,Pontine Trigeminal Area
32,Supratrigeminal nucleus,13,-1,Pontine Trigeminal Area
33,Pontine central gray,14,63.37093563,Pontine Central Gray Area
34,Sublaterodorsal nucleus,14,88.39779006,Pontine Central Gray Area
35,Laterodorsal tegmental nucleus,14,25.90393956,Pontine Central Gray Area
36,Subceruleus nucleus,14,31.6027088,Pontine Central Gray Area
37,Barrington's nucleus,14,76.92307692,Pontine Central Gray Area
38,Pons,14,71.01312052,Pontine Central Gray Area
39,Locus ceruleus,30,-1,Unused
40,Parabrachial nucleus,15,-1,Parabrachial / Pedunculopontine
41,Pedunculopontine nucleus,15,44.28463285,Parabrachial / Pedunculopontine
42,Fastigial nucleus,16,-1,Cerebellospinal Nuclei
43,Interposed nucleus,16,-1,Cerebellospinal Nuclei
44,Red nucleus,17,59.23589204,Red Nucleus
45,Edinger-Westphal nucleus,18,-1,Midbrain Midline Nuclei
46,Interstitial nucleus of Cajal,18,36.5497076,Midbrain Midline Nuclei
47,Nucleus of Darkschewitsch,18,-1,Midbrain Midline Nuclei
48,Midbrain,18,13.91862955,Midbrain Midline Nuclei
49,Midbrain reticular nucleus,19,27.92738879,Midbrain Reticular Nuclei
50,"Midbrain reticular nucleus, retrorubral area",19,13.60544218,Midbrain Reticular Nuclei
51,Periaqueductal gray,20,11.07366394,Periaqueductal Gray
52,Paraventricular hypothalamic nucleus,21,11.42263759,Hypothalamic Periventricular Zone
53,"Paraventricular hypothalamic nucleus, descending division",21,6.799637353,Hypothalamic Periventricular Zone
54,"Periventricular hypothalamic nucleus, intermediate part",21,0,Hypothalamic Periventricular Zone
55,Dorsomedial nucleus of the hypothalamus,22,0,Hypothalamic Lateral Area
56,Hypothalamus,22,5.541445394,Hypothalamic Lateral Area
57,Lateral hypothalamic area,22,10.68122478,Hypothalamic Lateral Area
58,Zona incerta,22,18.61427094,Hypothalamic Lateral Area
59,Anterior hypothalamic nucleus,23,-1,Hypothalamic Medial Area
60,Posterior hypothalamic nucleus,23,0,Hypothalamic Medial Area
61,Ventromedial hypothalamic nucleus,23,11.34215501,Hypothalamic Medial Area
62,Perireunensis nucleus,24,-1,Thalamus
63,"Subparafascicular nucleus, magnocellular part",24,-1,Thalamus
64,Thalamus,24,21.47239264,Thalamus
65,Ventral medial nucleus of the thalamus,24,-1,Thalamus
66,Nucleus of reuniens,24,37.5,Thalamus
67,"Central amygdalar nucleus, medial part",30,-1,Unused
68,Substantia innominata,30,-1,Unused
69,Corticospinal,25,4.647906028,Corticospinal
