Region ID,Region-name,Shortname,Abbrv,Category-ID,Category-Name,LeftCount,RightCount,TotalCount,Color,Normalized
1,Dorsal motor nucleus of the vagus nerve,Dorsal Mot. Nuc. Vagus,DMX,1,Solitariospinal Area,1,1,2,#FA9600,0.794281176
2,Cuneate nucleus,Cuneate nucleus,CU,1,Solitariospinal Area,28,32,60,#FA9600,100
3,Gracile nucleus,Gracile nucleus,GR,1,Solitariospinal Area,13,13,26,#FA9600,37.68115942
4,Nucleus of the solitary tract,Nuc. Solitary Tract,NST,1,Solitariospinal Area,82,102,184,#FA9600,100
5,Medulla,Medulla,MY,1,Solitariospinal Area,427,327,754,#FA9600,100
6,"Medullary reticular nucleus, ventral part","Medullary Ret. Nuc., ventral",MDRNd,2,Medullary Reticular Nuclei,436,404,840,#0000FA,2
7,"Medullary reticular nucleus, dorsal part","Medullary Ret. Nuc., dorsal",MDRNv,2,Medullary Reticular Nuclei,150,116,266,#0000FA,2
8,Magnocellular reticular nucleus,Magnocellular Ret. Nuc.,MARN,3,Magnocellular Ret. Nuc.,619,497,1116,#003296,100
9,Gigantocellular reticular nucleus,Gigantocellular Ret. Nuc.,GRN,4,Gigantocellular reticular nucleus,3218,3907,7125,#00FFFF,77.16467212
10,"Lateral reticular nucleus, magnocellular part","Lat. Ret. Nuc., magnocellular",LRNm,5,Lateral Reticular Nuclei,209,244,453,#0096FF,5
11,"Paragigantocellular reticular nucleus, lateral part","Paragiganto. Ret. Nuc, lateral",PGRNl,5,Lateral Reticular Nuclei,162,124,286,#0096FF,5
12,Intermediate reticular nucleus,Intermediate Ret. Nuc,IRN,5,Lateral Reticular Nuclei,165,207,372,#0096FF,34.01920439
13,Parvicellular reticular nucleus,Parvicellular Ret. Nuc.,PARN,5,Lateral Reticular Nuclei,4,1,5,#0096FF,21.64502165
14,"Paragigantocellular reticular nucleus, dorsal part","Paragigant. Ret. Nuc., dorsal",PGRNd,6,Dorsal Reticular Nucleus,5,12,17,#0064FF,6
15,Nucleus raphe magnus,Nucleus raphe magnus,RM,7,Raphe Nuclei,122,200,322,#00C8FF,81.53963029
16,Nucleus raphe obscurus,Nucleus raphe obscurus,RO,7,Raphe Nuclei,44,13,57,#00C8FF,76.20320856
17,Facial motor nucleus,Facial motor nucleus,VII,30,Unused,10,2,12,#808080,51.06382979
18,Hypoglossal nucleus,Hypoglossal nucleus,XII,8,Perihypoglossal Area,12,46,58,#C86400,80.77994429
19,Nucleus of Roller,Nucleus of Roller,NR,8,Perihypoglossal Area,0,0,0,#C86400,-1
20,Nucleus prepositus,Nucleus prepositus,PRP,8,Perihypoglossal Area,0,0,0,#C86400,-1
21,"Spinal nucleus of the trigeminal, interpolar part","Spinal Nuc. Trig., interpolar",SPVI,9,Medullary Trigeminal Area,1,0,1,#808080,9
22,"Spinal nucleus of the trigeminal, caudal part","Spinal Nuc. Trig., caudal",SPVC,9,Medullary Trigeminal Area,6,1,7,#808080,9
23,Spinal vestibular nucleus,Spinal vestibular nucleus,SPIV,10,Vestibular Nuclei,42,47,89,#462300,70.13396375
