structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
"Primary somatosensory area, lower limb, layer 5",1287,1364,2651,0.2100625,0.19940625,0.40946875,6126.747992,6840.307162
"Primary motor area, Layer 5",1317,1176,2493,1.389078125,1.4651875,2.854265625,948.1108199,802.62765
Magnocellular reticular nucleus,747,689,1436,0.373375,0.36365625,0.73703125,2000.669568,1894.646387
Gigantocellular reticular nucleus,508,484,992,1.9228125,1.922234375,3.845046875,264.196327,251.7903156
Red nucleus,327,632,959,0.35021875,0.373359375,0.723578125,933.7021504,1692.739067
Pontine reticular nucleus,364,552,916,1.1870625,1.178015625,2.365078125,306.6392882,468.5846166
Pons,450,419,869,1.62184375,1.66328125,3.285125,277.4619935,251.9116956
"Primary motor area, Layer 6a",536,271,807,1.223421875,1.26615625,2.489578125,438.1154293,214.0336155
"Pontine reticular nucleus, caudal part",364,331,695,1.442,1.37225,2.81425,252.4271845,241.2096921
crossed tectospinal pathway,261,303,564,0.342578125,0.33584375,0.678421875,761.8700114,902.2052666
Midbrain reticular nucleus,299,245,544,2.536828125,2.595890625,5.13271875,117.8637201,94.37993945
Hypoglossal nucleus,257,224,481,0.16465625,0.172140625,0.336796875,1560.827481,1301.261686
Pontine central gray,210,230,440,0.39140625,0.38240625,0.7738125,536.5269461,601.4546049
"Primary somatosensory area, trunk, layer 5",186,214,400,0.127015625,0.124796875,0.2518125,1464.386763,1714.786528
Medulla,161,212,373,2.445953125,2.542,4.987953125,65.82301122,83.39889851
"Medullary reticular nucleus, ventral part",113,146,259,0.4918125,0.517953125,1.009765625,229.7623586,281.8787897
"Primary somatosensory area, upper limb, layer 5",102,95,197,0.330453125,0.317453125,0.64790625,308.6670765,299.25678
Nucleus raphe magnus,74,109,183,0.05103125,0.105921875,0.156953125,1450.091855,1029.060333
Sublaterodorsal nucleus,85,89,174,0.033171875,0.03028125,0.063453125,2562.411682,2939.112487
Lateral hypothalamic area,56,99,155,0.7908125,0.7881875,1.579,70.81324587,125.6046309
Pedunculopontine nucleus,60,88,148,0.478296875,0.45278125,0.931078125,125.4451014,194.3543378
Nucleus raphe obscurus,4,111,115,0.007390625,0.0458125,0.053203125,541.2262156,2422.919509
"Secondary motor area, layer 6a",74,32,106,1.00803125,0.995828125,2.003859375,73.41042254,32.13405928
Paraventricular hypothalamic nucleus,18,85,103,0.07765625,0.077921875,0.155578125,231.7907445,1090.836174
Laterodorsal tegmental nucleus,29,67,96,0.138203125,0.1270625,0.265265625,209.8360656,527.2995573
Midbrain,46,42,88,2.86875,2.97671875,5.84546875,16.03485839,14.10949556
Hypothalamus,23,58,81,1.015046875,1.076453125,2.0915,22.65905208,53.88065551
Intermediate reticular nucleus,29,43,72,1.568078125,1.529078125,3.09715625,18.4939765,28.1215193
Periaqueductal gray,28,36,64,2.31034375,2.345375,4.65571875,12.11940864,15.34935778
"Secondary motor area, layer 5",42,19,61,1.922953125,1.880765625,3.80371875,21.84140604,10.10226886
"Primary somatosensory area, lower limb, layer 6a",39,15,54,0.210421875,0.198046875,0.40846875,185.341947,75.73964497
Dorsal motor nucleus of the vagus nerve,15,38,53,0.098234375,0.099609375,0.19784375,152.6960394,381.4901961
"Retrosplenial area, lateral agranular part, layer 5",23,29,52,0.24259375,0.2594375,0.50203125,94.80870797,111.7802939
"Paraventricular hypothalamic nucleus, descending division",10,39,49,0.051109375,0.052625,0.103734375,195.6588199,741.0926366
Zona incerta,15,23,38,0.649421875,0.651375,1.300796875,23.0974665,35.30992132
Edinger-Westphal nucleus,12,23,35,0.008,0.01578125,0.02378125,1500,1457.425743
Barrington's nucleus,20,13,33,0.010296875,0.009,0.019296875,1942.336874,1444.444444
Medial vestibular nucleus,20,12,32,1.023703125,0.9700625,1.993765625,19.53691408,12.37033696
Subceruleus nucleus,14,18,32,0.01653125,0.01515625,0.0316875,846.8809074,1187.628866
Supratrigeminal nucleus,19,7,26,0.117953125,0.1101875,0.228140625,161.0809379,63.52807714
Medial accesory oculomotor nucleus,17,2,19,0.007515625,0.007359375,0.014875,2261.954262,271.7622081
Peritrigeminal zone,16,0,16,0.161671875,0.146796875,0.30846875,98.96588383,0
"Lateral reticular nucleus, magnocellular part",12,4,16,0.252078125,0.2624375,0.514515625,47.60428934,15.24172422
superior cerebelar peduncles,4,12,16,0.2375,0.21946875,0.45696875,16.84210526,54.67748825
Parabrachial nucleus,13,0,13,0.450296875,0.414984375,0.86528125,28.86984281,0
Thalamus,4,8,12,0.39371875,0.40690625,0.800625,10.15953647,19.66054834
Inferior olivary complex,7,4,11,0.313109375,0.316828125,0.6299375,22.35640501,12.62514179
medial longitudinal fascicle,9,0,9,0.111671875,0.113,0.224671875,80.59325591,0
nigrostriatal tract,5,2,7,0.044125,0.043,0.087125,113.3144476,46.51162791
Interstitial nucleus of Cajal,7,0,7,0.035453125,0.037546875,0.073,197.4438078,0
Nucleus of Darkschewitsch,6,0,6,0.040796875,0.043328125,0.084125,147.0700881,0
rubrospinal tract,4,2,6,0.23028125,0.227671875,0.457953125,17.37006378,8.784572095
fasciculus retroflexus,3,3,6,0.06725,0.068875,0.136125,44.60966543,43.55716878
"Retrosplenial area, dorsal part, layer 6a",5,0,5,0.2660625,0.278078125,0.544140625,18.79257693,0
"Retrosplenial area, lateral agranular part, layer 6a",5,0,5,0.139140625,0.147453125,0.28659375,35.93486805,0
Perifornical nucleus,0,5,5,0.085828125,0.085234375,0.1710625,0,58.66177819
"Medullary reticular nucleus, dorsal part",2,3,5,0.524625,0.572890625,1.097515625,3.812246843,5.236601664
Nucleus of reuniens,1,4,5,0.17378125,0.186765625,0.360546875,5.754360726,21.41721743
mammillothalamic tract,2,2,4,0.048515625,0.049765625,0.09828125,41.22383253,40.18838305
columns of the fornix,0,3,3,0.108796875,0.113859375,0.22265625,0,26.34829148
"Primary somatosensory area, trunk, layer 6a",1,2,3,0.087859375,0.0860625,0.173921875,11.38182465,23.2389252
"Primary motor area, Layer 2/3",0,3,3,1.645828125,1.735796875,3.381625,0,1.728312825
Posterior hypothalamic nucleus,0,3,3,0.2336875,0.24571875,0.47940625,0,12.2090805
Subparafascicular area,3,0,3,0.046078125,0.05584375,0.101921875,65.10681587,0
Superior central nucleus raphe,3,0,3,0.323984375,0.34815625,0.672140625,9.259705811,0
