Index,Region,regionshort,abbrv,groupno,groupname,testcolumn,testcolumn2
1,Dorsal motor nucleus of the vagus nerve,Dorsal Mot. Nuc. Vagus,DMX,1,Solitary,"2008 auth1; 2009 auth2", "title1; title2"
2,Cuneate nucleus,Cuneate nucleus,CU,1,Solitary
3,Gracile nucleus,Gracile nucleus,GR,1,Solitary
4,Nucleus of the solitary tract,Nuc. Solitary Tract,NST,1,Solitary
5,Medulla,Medulla,MY,1,Solitary
6,"Medullary reticular nucleus, ventral part","Medullary Ret. Nuc., ventral",MDRNd,4,Medullary reticular nucleus
7,"Medullary reticular nucleus, dorsal part","Medullary Ret. Nuc., dorsal",MDRNv,4,Medullary reticular nucleus
8,Magnocellular reticular nucleus,Magnocellular Ret. Nuc.,MARN,3,Magnocellular Ret. Nuc.
9,Gigantocellular reticular nucleus,Gigantocellular Ret. Nuc.,GRN,2,Gigantocellular reticular nucleus
10,"Lateral reticular nucleus, magnocellular part","Lat. Ret. Nuc., magnocellular",LRNm,5,Lateral Reticular
11,"Paragigantocellular reticular nucleus, lateral part","Paragiganto. Ret. Nuc, lateral",PGRNl,5,Lateral Reticular
12,Intermediate reticular nucleus,Intermediate Ret. Nuc,IRN,5,Lateral Reticular
13,Parvicellular reticular nucleus,Parvicellular Ret. Nuc.,PARN,5,Lateral Reticular
14,"Paragigantocellular reticular nucleus, dorsal part","Paragigant. Ret. Nuc., dorsal",PGRNd,6,Dorsal Reticular
15,Nucleus raphe magnus,Nucleus raphe magnus,RM,7,Raphe nucleus
16,Nucleus raphe obscurus,Nucleus raphe obscurus,RO,7,Raphe nucleus
17,Facial motor nucleus,Facial motor nucleus,VII,30,Unused
18,Hypoglossal nucleus,Hypoglossal nucleus,XII,8,Hypoglossal related
19,Nucleus of Roller,Nucleus of Roller,NR,8,Hypoglossal related
20,Nucleus prepositus,Nucleus prepositus,PRP,8,Hypoglossal related
21,"Spinal nucleus of the trigeminal, interpolar part","Spinal Nuc. Trig., interpolar",SPVI,9,Trigeminal
22,"Spinal nucleus of the trigeminal, caudal part","Spinal Nuc. Trig., caudal",SPVC,9,Trigeminal
23,Spinal vestibular nucleus,Spinal vestibular nucleus,SPIV,10,Vestibular nucleus
24,Medial vestibular nucleus,Medial vestibular nucleus,MV,10,Vestibular nucleus
25,Lateral vestibular nucleus,Lateral vestibular nucleus,LAV,10,Vestibular nucleus
26,"Pontine reticular nucleus, caudal part","Pontine Ret. Nuc., caudal",PRNc,11,Pontine Reticular
27,Pontine reticular nucleus,Pontine reticular nucleus,PRNr,11,Pontine Reticular
28,"Superior olivary complex, lateral part","Sup. olivary complex, lateral",SOCl,15,Superior olivary complex
29,"Superior olivary complex, medial part","Sup. olivary complex, medial",SOCm,15,Superior olivary complex
30,"Superior olivary complex, periolivary region","Sup. olivary, periolivary",POR,15,Superior olivary complex
31,Peritrigeminal zone,Peritrigeminal zone,P5,12,Pontine Trigeminal region
32,Supratrigeminal nucleus,Supratrigeminal nucleus,SUT,12,Pontine Trigeminal region
